tweet_id,favorites,retweets
892420643555336193,37957,8291
892177421306343426,32594,6123
891815181378084864,24538,4054
891689557279858688,41293,8430
891327558926688256,39483,9130
891087950875897856,19843,3039
890971913173991426,11596,2011
890729181411237888,64027,18390
890609185150312448,27249,4176
890240255349198849,31270,7194
890006608113172480,30043,7149
889880896479866881,27245,4853
889665388333682689,47147,9787
889638837579907072,26604,4413
889531135344209921,14811,2193
889278841981685760,24736,5234
888917238123831296,28529,4394
888804989199671297,25055,4179
888554962724278272,19420,3457
888078434458587136,21316,3407
887705289381826560,29566,5258
887517139158093824,45347,11400
887473957103951883,67606,17727
887343217045368832,33000,10158
887101392804085760,29966,5814
886983233522544640,34433,7582
886736880519319552,11819,3197
886680336477933568,21979,4354
886366144734445568,20765,3126
886267009285017600,116,4
886258384151887873,27429,6135
886054160059072513,0,104
885984800019947520,31984,6603
885528943205470208,35251,6271
885518971528720385,20024,3665
885311592912609280,0,18105
885167619883638784,21473,4278
884925521741709313,75863,17814
884876753390489601,27369,5474
884562892145688576,23803,4577
884441805382717440,26459,5522
884247878851493888,71525,20011
884162670584377345,19941,2915
883838122936631299,21460,3369
883482846933004288,44979,9692
883360690899218434,22231,3615
883117836046086144,36406,6505
882992080364220416,23476,3830
882762694511734784,27723,4793
882627270321602560,27375,5939
882268110199369728,44030,11328
882045870035918850,28763,4851
881906580714921986,23825,3315
881666595344535552,49574,10425
881633300179243008,124,7
881536004380872706,48445,15590
881268444196462592,22633,5064
880935762899988482,16691,2719
880872448815771648,20849,3737
880465832366813184,27961,6135
880221127280381952,26507,4118
880095782870896641,27078,4250
879862464715927552,21899,3414
879674319642796034,305,10
879492040517615616,22966,3107
879415818425184262,103786,43308
879376492567855104,16458,3046
879130579576475649,0,6669
879050749262655488,22098,4611
879008229531029506,18604,2639
878776093423087618,19032,4041
878604707211726852,29665,7050
878404777348136964,0,1261
878316110768087041,0,6510
878281511006478336,7587,1261
878057613040115712,41219,6669
877736472329191424,78237,18680
877611172832227328,0,79
877556246731214848,22296,3726
877316821321428993,26864,5077
877201837425926144,26621,5468
876838120628539392,20312,3271
876537666061221889,23083,4551
876484053909872640,18417,2352
876120275196170240,27412,4592
875747767867523072,24739,4215
875144289856114688,21550,4837
875097192612077568,26926,5942
875021211251597312,25017,4635
874680097055178752,27323,4558
874434818259525634,0,14457
874296783580663808,25604,4034
874057562936811520,22285,3893
874012996292530176,33981,10231
873580283840344065,23802,3876
873337748698140672,0,1561
873213775632977920,7114,1561
872967104147763200,26908,5332
872820683541237760,14487,3640
872620804844003328,20475,3640
872486979161796608,40058,8910
872261713294495745,33700,6240
872122724285648897,33906,8027
871879754684805121,37392,11025
871762521631449091,19984,3439
871515927908634625,19926,3420
871166179821445120,0,5639
871102520638267392,20663,5455
871032628920680449,22382,3780
870804317367881728,33210,6153
870726314365509632,118,3
870656317836468226,12264,2622
870374049280663552,81769,26015
870308999962521604,21590,4123
870063196459192321,36259,8289
869772420881756160,41962,9968
869702957897576449,27951,6307
869596645499047938,15818,3121
869227993411051520,20252,3769
868880397819494401,65031,14415
868639477480148993,0,2091
868622495443632128,26524,5281
868552278524837888,10047,2091
867900495410671616,24017,4172
867774946302451713,33738,7327
867421006826221569,16011,2501
867072653475098625,0,121
867051520902168576,32053,7863
866720684873056260,19961,4809
866686824827068416,19220,3478
866450705531457537,121681,35323
866334964761202691,52323,14457
866094527597207552,0,8389
865718153858494464,25552,5633
865359393868664832,26390,5015
865006731092295680,27915,7710
864873206498414592,32215,8742
864279568663928832,14593,3044
864197398364647424,30103,8975
863907417377173506,20585,4166
863553081350529029,15288,4206
863471782782697472,0,2464
863432100342583297,23814,5284
863427515083354112,2263,97
863079547188785154,8766,1113
863062471531167744,8525,2464
862831371563274240,19180,5136
862722525377298433,17071,3553
862457590147678208,20557,4997
862096992088072192,74643,23502
861383897657036800,36183,10817
861288531465048066,17237,4195
861005113778896900,16754,3834
860981674716409858,0,2184
860924035999428608,0,830
860563773140209665,7540,2184
860524505164394496,23711,5352
860276583193509888,18368,3518
860184849394610176,16753,5927
860177593139703809,0,31297
859924526012018688,19639,4144
859851578198683649,15485,3562
859607811541651456,18696,1599
859196978902773760,90490,30663
859074603037188101,34074,13839
858860390427611136,0,8292
858843525470990336,15639,3540
858471635011153920,21668,4931
858107933456039936,15850,2960
857989990357356544,16265,2633
857746408056729600,34574,10848
857393404942143489,5963,1680
857263160327368704,20203,4610
857214891891077121,229,18
857062103051644929,0,176
857029823797047296,19137,4100
856602993587888130,0,10940
856543823941562368,16430,2949
856526610513747968,11977,1931
856330835276025856,0,697
856288084350160898,525,17
856282028240666624,28070,6483
855862651834028034,348,27
855860136149123072,5098,1057
855857698524602368,12004,2167
855851453814013952,46069,18201
855818117272018944,26989,5587
855459453768019968,30363,8446
855245323840757760,0,6156
855138241867124737,0,47
854732716440526848,23212,6300
854482394044301312,29808,7091
854365224396361728,19229,4848
854120357044912130,32548,7738
854010172552949760,16508,3263
853760880890318849,29157,5993
853639147608842240,35549,10513
853299958564483072,15860,3705
852936405516943360,0,2084
852912242202992640,9271,1909
852672615818899456,15262,2244
852553447878664193,16732,3656
852311364735569921,33897,10278
852226086759018497,20483,7077
852189679701164033,11747,1655
851953902622658560,0,10025
851861385021730816,0,23
851591660324737024,16623,3619
851464819735769094,24890,7395
851224888060895234,21240,5969
850753642995093505,31852,9688
850380195714523136,13425,2734
850333567704068097,3535,350
850145622816686080,16798,4011
850019790995546112,21045,5118
849776966551130114,31361,7963
849668094696017920,0,5189
849412302885593088,16354,3293
849336543269576704,11769,1980
849051919805034497,43780,8931
848690551926992896,25991,4534
848324959059550208,25544,4824
848213670039564288,8436,781
848212111729840128,16847,3219
847978865427394560,0,3426
847971574464610304,0,448
847962785489326080,24290,5363
847842811428974592,5653,1412
847617282490613760,7249,445
847606175596138505,19420,3571
847251039262605312,21149,4517
847157206088847362,20628,6166
847116187444137987,22147,3373
846874817362120707,20769,4135
846514051647705089,46212,12229
846505985330044928,14601,3251
846153765933735936,32820,9573
846139713627017216,32001,10426
846042936437604353,16572,3059
845812042753855489,30367,9231
845677943972139009,26036,5049
845397057150107648,7917,1908
845306882940190720,24184,5695
845098359547420673,0,8093
844979544864018432,14129,2725
844973813909606400,15680,3399
844704788403113984,40202,10939
844580511645339650,17115,3327
844223788422217728,14159,2330
843981021012017153,15729,3100
843856843873095681,22252,4907
843604394117681152,17549,2920
843235543001513987,22362,6413
842846295480000512,15826,3817
842765311967449089,7012,1353
842535590457499648,18819,3718
842163532590374912,25470,6156
842115215311396866,14575,3219
841833993020538882,0,16279
841680585030541313,26695,8237
841439858740625411,13146,3905
841320156043304961,20592,5785
841314665196081154,16490,4990
841077006473256960,23831,5639
840761248237133825,0,1864
840728873075638272,0,17188
840698636975636481,186,2
840696689258311684,12816,1041
840632337062862849,9354,1864
840370681858686976,17163,4835
840268004936019968,20103,6107
839990271299457024,13998,2443
839549326359670784,28725,8291
839290600511926273,0,152
839239871831150596,28400,6971
838952994649550848,20479,4235
838921590096166913,11665,2215
838916489579200512,0,36
838831947270979586,0,11787
838561493054533637,11407,1410
838476387338051585,23590,5131
838201503651401729,0,10762
838150277551247360,1755,354
838085839343206401,147,0
838083903487373313,18426,3369
837820167694528512,35756,8388
837482249356513284,4009,470
837471256429613056,13368,2448
837366284874571778,22113,5657
837110210464448512,16758,2552
836989968035819520,13309,2458
836753516572119041,20116,4931
836677758902222849,13202,2374
836648853927522308,0,584
836397794269200385,0,29568
836380477523124226,15422,3168
836260088725786625,22247,4591
836001077879255040,19990,4588
835685285446955009,0,8714
835574547218894849,18641,3876
835536468978302976,0,1823
835309094223372289,0,22508
835297930240217089,17201,3212
835264098648616962,8106,1823
835246439529840640,2192,78
835172783151792128,27376,6142
835152434251116546,23534,3232
834931633769889797,11339,1766
834786237630337024,22212,5884
834574053763584002,14334,2714
834477809192075265,0,11437
834458053273591808,10050,1797
834209720923721728,21605,5126
834167344700198914,16523,3897
834089966724603904,10534,2278
834086379323871233,13698,2377
833863086058651648,14061,2578
833826103416520705,18866,4003
833732339549220864,0,231
833722901757046785,21726,3446
